uncomp,,,,,,comp,,,,,,sczcopy,,,,,
Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte
5056,13295068,13295068,328036,328036,64.88053797,5056,20256864,20256864,498528,498528,98.60126582,5056,14825772,14825772,347412,347412,68.71281646
5120,13627200,13627200,332132,332132,64.86953125,5120,20761600,20761600,504736,504736,98.58125,5120,15177280,15177280,351508,351508,68.65390625
5184,13963428,13963428,336228,336228,64.8587963,5184,21272544,21272544,510944,510944,98.5617284,5184,15532884,15532884,355604,355604,68.59645062
5248,14303752,14303752,340324,340324,64.84832317,5248,21789696,21789696,517152,517152,98.54268293,5248,15892584,15892584,359700,359700,68.54039634
5312,14648172,14648172,344420,344420,64.83810241,5312,22313056,22313056,523360,523360,98.52409639,5312,16256380,16256380,363796,363796,68.48569277
5376,14996688,14996688,348516,348516,64.828125,5376,22842624,22842624,529568,529568,98.50595238,5376,16624272,16624272,367892,367892,68.43229167
5440,15349300,15349300,352612,352612,64.81838235,5440,23378400,23378400,535776,535776,98.48823529,5440,16996260,16996260,371988,371988,68.38014706
5504,15706008,15706008,356708,356708,64.80886628,5504,23920384,23920384,541984,541984,98.47093023,5504,17372344,17372344,376084,376084,68.32921512
5568,16066812,16066812,360804,360804,64.79956897,5568,24468576,24468576,548192,548192,98.45402299,5568,17752524,17752524,380180,380180,68.27945402
5632,16431712,16431712,364900,364900,64.79048295,5632,25022976,25022976,554400,554400,98.4375,5632,18136800,18136800,384276,384276,68.23082386
5696,16800708,16800708,368996,368996,64.78160112,5696,25583584,25583584,560608,560608,98.42134831,5696,18525172,18525172,388372,388372,68.18328652
5760,17173800,17173800,373092,373092,64.77291667,5760,26150400,26150400,566816,566816,98.40555556,5760,18917640,18917640,392468,392468,68.13680556
5824,17550988,17550988,377188,377188,64.76442308,5824,26723424,26723424,573024,573024,98.39010989,5824,19314204,19314204,396564,396564,68.09134615
5888,17932272,17932272,381284,381284,64.75611413,5888,27302656,27302656,579232,579232,98.375,5888,19714864,19714864,400660,400660,68.046875
5952,18317652,18317652,385380,385380,64.74798387,5952,27888096,27888096,585440,585440,98.36021505,5952,20119620,20119620,404756,404756,68.00336022
6016,18707128,18707128,389476,389476,64.7400266,6016,28479744,28479744,591648,591648,98.34574468,6016,20528472,20528472,408852,408852,67.96077128
6080,19100700,19100700,393572,393572,64.73223684,6080,29077600,29077600,597856,597856,98.33157895,6080,20941420,20941420,412948,412948,67.91907895
6144,19498368,19498368,397668,397668,64.72460938,6144,29681664,29681664,604064,604064,98.31770833,6144,21358464,21358464,417044,417044,67.87825521
6208,19900132,19900132,401764,401764,64.71713918,6208,30291936,30291936,610272,610272,98.30412371,6208,21779604,21779604,421140,421140,67.8382732
6272,20305992,20305992,405860,405860,64.70982143,6272,30908416,30908416,616480,616480,98.29081633,6272,22204840,22204840,425236,425236,67.79910714
6336,20715948,20715948,409956,409956,64.70265152,6336,31531104,31531104,622688,622688,98.27777778,6336,22634172,22634172,429332,429332,67.76073232
6400,21130000,21130000,414052,414052,64.695625,6400,32160000,32160000,628896,628896,98.265,6400,23067600,23067600,433428,433428,67.723125
6464,21548148,21548148,418148,418148,64.68873762,6464,32795104,32795104,635104,635104,98.25247525,6464,23505124,23505124,437524,437524,67.68626238
6528,21970392,21970392,422244,422244,64.68198529,6528,33436416,33436416,641312,641312,98.24019608,6528,23946744,23946744,441620,441620,67.65012255
